listing_id,title,category,price_fcfa,currency,neighborhood,city_region,bedrooms,surface_m2,date_posted_raw,url
6761792,Belle Villa avec piscine a Somone,Maisons à vendre,120532000.0,XOF,Somone,Thiès,3.0,604.0,"16. juin, 17:24",https://www.expat-dakar.com/annonce/belle-villa-avec-piscine-a-somone-6761792
6789867,Belle villa à vendre haut standing à Somone,Maisons à vendre,220000000.0,XOF,Somone,Thiès,5.0,467.0,"20. juil., 15:54",https://www.expat-dakar.com/annonce/belle-villa-a-vendre-haut-standing-a-somone-6789867
6711427,Villa à vendre à Diamniadio,Maisons à vendre,180000000.0,XOF,Diamniadio,Dakar,5.0,250.0,"13. juil., 11:10",https://www.expat-dakar.com/annonce/villa-a-vendre-a-diamniadio-6711427
6712973,Immeuble a vendre aux Mamelles,Maisons à vendre,425000000.0,XOF,Mamelles,Dakar,5.0,250.0,"10. juil., 13:33",https://www.expat-dakar.com/annonce/immeuble-a-vendre-aux-mamelles-6712973
6721243,Villa R+1 angle a vendre a Nord Foire,Maisons à vendre,170000000.0,XOF,Nord foire,Dakar,5.0,200.0,"15. mai, 15:38",https://www.expat-dakar.com/annonce/villa-r1-angle-a-vendre-a-nord-foire-6721243
6668784,Magnifique Villa à vendre à Diamniadio,Maisons à vendre,80000000.0,XOF,Diamniadio,Dakar,6.0,150.0,"10. juil., 10:30",https://www.expat-dakar.com/annonce/magnifique-villa-a-vendre-a-diamniadio-6668784
6785642,Villa R+1 à démolir castor,Maisons à vendre,100000000.0,XOF,Castor,Dakar,5.0,160.0,"8. juil., 15:55",https://www.expat-dakar.com/annonce/villa-r1-a-demolir-castor-6785642
6785581,Villa Angle 300m2 VDN,Maisons à vendre,370000000.0,XOF,VDN,Dakar,5.0,250.0,"8. juil., 14:17",https://www.expat-dakar.com/annonce/villa-angle-300m2-vdn-6785581
6785555,Ref_6245_GL Villa Duplex avec Vue sur Mer à Vendre – Yène,Maisons à vendre,400000000.0,XOF,Yene,Dakar,4.0,720.0,"8. juil., 13:57",https://www.expat-dakar.com/annonce/ref-6245-gl-villa-duplex-avec-vue-sur-mer-a-vendre-yene-6785555
6785291,VILLA R+1 À SOMONE,Maisons à vendre,105000000.0,XOF,Somone,Thiès,6.0,300.0,"11. juil., 11:43",https://www.expat-dakar.com/annonce/villa-r1-a-somone-6785291
